FeatureSet,Model,Strategy1,Strategy2,Strategy1_F1,Strategy1_F1_std,Strategy2_F1,Strategy2_F1_std,Strategy1_AUPRC,Strategy2_AUPRC,Winner,Mean_Diff,Std_Diff
biomedical_only,SVM,StandardScaler_none,StandardScaler_ANOVA,0.7304,0.0034,0.7304,0.0034,0.7675±0.0058,0.7675±0.0058,Tie,0.0,0.0048
biomedical_only,SVM,StandardScaler_MI,StandardScaler_Chi2,0.7304,0.0034,0.7304,0.0034,0.7675±0.0058,0.7675±0.0058,Tie,0.0,0.0048
biomedical_only,SVM,StandardScaler_MI,StandardScaler_ANOVA,0.7304,0.0034,0.7304,0.0034,0.7675±0.0058,0.7675±0.0058,Tie,0.0,0.0048
biomedical_only,SVM,StandardScaler_Chi2,StandardScaler_ANOVA,0.7304,0.0034,0.7304,0.0034,0.7675±0.0058,0.7675±0.0058,Tie,0.0,0.0048
biomedical_only,SVM,MinMaxScaler_none,MinMaxScaler_MI,0.7288,0.0021,0.7288,0.0021,0.7738±0.0043,0.7738±0.0043,Tie,0.0,0.003
biomedical_only,SVM,MinMaxScaler_none,MinMaxScaler_Chi2,0.7288,0.0021,0.7309,0.0021,0.7738±0.0043,0.7722±0.0045,Tie,-0.0021,0.003
biomedical_only,SVM,MinMaxScaler_none,MinMaxScaler_ANOVA,0.7288,0.0021,0.7288,0.0021,0.7738±0.0043,0.7738±0.0043,Tie,0.0,0.003
biomedical_only,SVM,MinMaxScaler_MI,MinMaxScaler_Chi2,0.7288,0.0021,0.7309,0.0021,0.7738±0.0043,0.7722±0.0045,Tie,-0.0021,0.003
biomedical_only,SVM,MinMaxScaler_MI,MinMaxScaler_ANOVA,0.7288,0.0021,0.7288,0.0021,0.7738±0.0043,0.7738±0.0043,Tie,0.0,0.003
biomedical_only,SVM,MinMaxScaler_Chi2,MinMaxScaler_ANOVA,0.7309,0.0021,0.7288,0.0021,0.7722±0.0045,0.7738±0.0043,Tie,0.0021,0.003
biomedical_only,MLP,StandardScaler_none,StandardScaler_MI,0.7302,0.0028,0.7302,0.0028,0.7779±0.0056,0.7779±0.0056,Tie,0.0,0.004
biomedical_only,MLP,StandardScaler_none,StandardScaler_Chi2,0.7302,0.0028,0.7302,0.0028,0.7779±0.0056,0.7779±0.0056,Tie,0.0,0.004
biomedical_only,MLP,StandardScaler_none,StandardScaler_ANOVA,0.7302,0.0028,0.7301,0.0028,0.7779±0.0056,0.7796±0.0037,Tie,0.0001,0.004
biomedical_only,MLP,StandardScaler_MI,StandardScaler_Chi2,0.7302,0.0028,0.7302,0.0028,0.7779±0.0056,0.7779±0.0056,Tie,0.0,0.004
biomedical_only,MLP,StandardScaler_MI,StandardScaler_ANOVA,0.7302,0.0028,0.7301,0.0028,0.7779±0.0056,0.7796±0.0037,Tie,0.0001,0.004
biomedical_only,MLP,StandardScaler_Chi2,StandardScaler_ANOVA,0.7302,0.0028,0.7301,0.0028,0.7779±0.0056,0.7796±0.0037,Tie,0.0001,0.004
biomedical_only,MLP,MinMaxScaler_none,MinMaxScaler_MI,0.7296,0.0028,0.7301,0.0032,0.7779±0.0054,0.7770±0.0055,Tie,-0.0005,0.0043
biomedical_only,MLP,MinMaxScaler_none,MinMaxScaler_Chi2,0.7296,0.0028,0.7292,0.0036,0.7779±0.0054,0.7769±0.0042,Tie,0.0004,0.0046
